q	Intensity	Error
3.57163	3.10E+07	0
3.57663	2.76E+07	0
3.57933	2.59E+07	0
3.58432	2.31E+07	0
3.58704	2.18E+07	0
3.592	2.16E+07	0
3.59474	2.17E+07	0
3.59968	2.07E+07	0
3.60245	2.02E+07	0
3.60737	2.10E+07	0
3.61015	2.17E+07	0
3.61505	2.27E+07	0
3.61786	2.37E+07	0
3.62273	2.59E+07	0
3.62557	2.66E+07	0
3.63042	2.77E+07	0
3.63327	2.78E+07	0
3.6381	2.60E+07	0
3.64098	2.50E+07	0
3.64578	2.33E+07	0
3.64868	2.23E+07	0
3.65347	2.28E+07	0
3.65639	2.30E+07	0
3.66115	2.54E+07	0
3.6641	2.74E+07	0
3.66883	2.65E+07	0
3.6718	2.55E+07	0
3.67652	2.52E+07	0
3.67951	2.54E+07	0
3.6842	2.75E+07	0
3.68721	2.86E+07	0
3.69188	2.89E+07	0
3.69492	2.92E+07	0
3.69957	2.82E+07	0
3.70262	2.81E+07	0
3.70725	2.98E+07	0
3.71033	3.10E+07	0
3.71493	3.11E+07	0
3.71804	3.12E+07	0
3.72262	3.08E+07	0
3.72574	2.98E+07	0
3.7303	2.98E+07	0
3.73345	2.94E+07	0
3.73799	2.85E+07	0
3.74115	2.83E+07	0
3.74567	2.66E+07	0
3.74886	2.60E+07	0
3.75335	2.82E+07	0
3.75656	2.94E+07	0
3.76104	3.10E+07	0
3.76427	3.15E+07	0
3.76872	3.03E+07	0
3.77198	2.94E+07	0
3.7764	2.87E+07	0
3.77968	2.86E+07	0
3.78409	3.06E+07	0
3.78739	3.24E+07	0
3.79177	3.30E+07	0
3.79509	3.36E+07	0
3.79945	3.29E+07	0
3.8028	3.13E+07	0
3.80714	3.15E+07	0
3.8105	3.16E+07	0
3.81482	3.23E+07	0
3.81821	3.31E+07	0
3.8225	3.29E+07	0
3.82592	3.38E+07	0
3.83019	3.33E+07	0
3.83362	3.26E+07	0
3.83787	3.25E+07	0
3.84133	3.17E+07	0
3.84555	3.13E+07	0
3.84903	3.16E+07	0
3.85324	3.13E+07	0
3.85674	3.10E+07	0
3.86092	3.19E+07	0
3.86445	3.20E+07	0
3.8686	3.28E+07	0
3.87215	3.30E+07	0
3.87629	3.25E+07	0
3.87986	3.32E+07	0
3.88397	3.19E+07	0
3.88756	3.08E+07	0
3.89165	3.19E+07	0
3.89527	3.26E+07	0
3.89934	3.25E+07	0
3.90297	3.25E+07	0
3.90702	3.28E+07	0
3.91068	3.23E+07	0
3.9147	3.16E+07	0
3.91839	3.06E+07	0
